observer,date,OTC,location,plant,corolla_length,corolla_width,notes
CAW,2021-07-06,I,out,XI185,32.1,2.3,
CAW,2021-07-06,I,out,XI185,31.2,2.6,
CAW,2021-07-06,I,in,I196,31.2,2.7,
CAW,2021-07-06,I,in,I196,27.6,2.5,
CAW,2021-07-06,I,in,I227,30.5,2.3,
CAW,2021-07-06,I,in,I227,31.5,2,
CAW,2021-07-06,I,in,I192,29.2,2,
CAW,2021-07-06,I,in,I192,29,1.7,
CAW,2021-07-06,H,in,H200,32,1.8,
CAW,2021-07-06,H,in,H200,32.3,2,
CAW,2021-07-06,H,in,H557,34.5,2.4,
CAW,2021-07-06,H,in,H557,34.5,2.3,
CAW,2021-07-06,H,in,H743,27.7,1.8,
CAW,2021-07-06,H,in,H743,28,1.7,
CAW,2021-07-06,H,in,H226,30.9,2,
CAW,2021-07-06,H,in,H226,30.3,1.8,
CAW,2021-07-06,H,out,XH188,31.6,1.8,
CAW,2021-07-06,H,out,XH188,29.9,1.8,
CAW,2021-07-06,B,out,XB193,31,2.2,
CAW,2021-07-06,B,out,XB193,30.7,2.4,
CAW,2021-07-06,B,in,B111,27.6,2.2,
CAW,2021-07-06,B,in,B111,27,2,
CAW,2021-07-06,B,in,B238,30.8,1.7,
CAW,2021-07-06,B,in,B238,30.5,2,
CAW,2021-07-06,B,in,B294,30.3,2.3,
CAW,2021-07-06,B,in,B294,28,1.9,
CAW,2021-07-06,G,in,G99,31.6,1.8,
CAW,2021-07-06,G,in,G99,30.6,2.1,
CAW,2021-07-06,G,in,G201,33.9,2.9,
CAW,2021-07-06,G,in,G201,34.1,2.6,
CAW,2021-07-06,G,in,G93,34.8,2,
CAW,2021-07-06,G,in,G93,30,1.8,
CAW,2021-07-06,G,in,G11,28.5,2,
CAW,2021-07-06,G,in,G11,28.7,1.7,
CAW,2021-07-06,G,out,XG5,29.8,2.6,
CAW,2021-07-06,G,out,XG5,27.6,1.8,
CAW,2021-07-06,F,out,XF221,32,2.4,
CAW,2021-07-06,F,out,XF221,33.6,2.2,
CAW,2021-07-06,F,out,XF184,33,2.4,
CAW,2021-07-06,F,out,XF184,33.4,2.5,
CAW,2021-07-06,F,in,F208,27.5,2.1,
CAW,2021-07-06,F,in,F208,30.9,2,
CAW,2021-07-06,F,in,F220,30.2,2.4,
CAW,2021-07-06,F,in,F220,30.9,2.8,
CAW,2021-07-06,F,in,F8,.,.,no open flowers
CAW,2021-07-06,D,in,D12,28.5,2.2,
CAW,2021-07-06,D,in,D12,30,2.2,
CAW,2021-07-06,D,in,D156,.,.,"big buds, none open"
ARW,2021-07-06,D,out,XD71,28.5,2.5,
CAW,2021-07-06,C,in,C189,28.8,2.9,
CAW,2021-07-06,C,in,C189,29.9,2.4,
CAW,2021-07-06,C,in,C207,.,.,"big buds, none open (browsed)"
ARW,2021-07-06,D,out,XD71,27.8,2.6,
CAW,2021-07-06,C,out,XC187,27.3,2.5,JP: changed from 7.3 to 27.3
CAW,2021-07-06,C,out,XC187,29.5,2,
CAW,2021-07-06,E,in,E6,.,.,"big buds, none open"
CAW,2021-07-06,E,in,E16,.,.,"big buds, none open"
CAW,2021-07-06,A,out,XA191,32.4,2.5,
ARW,2021-07-06,A,out,XA186,32.9,3.1,
CAW,2021-07-06,A,out,XA191,33.9,2.3,
CAW,2021-07-06,A,in,A170,33.9,2.1,
ARW,2021-07-06,A,out,XA186,31.3,2.8,
CAW,2021-07-06,A,in,A170,32.8,2.2,
CAW,2021-07-06,A,in,A10,32.6,2.2,
CAW,2021-07-06,A,in,A10,33.7,2.3,
CAW,2021-07-06,E,out,XE27,.,.,"big buds, none open"
CAW,2021-07-06,I,out,XI139,30.2,2.6,
CAW,2021-07-06,I,out,XI139,30.8,2.3,
